Sampling Feature: Manitou Exp. Forest Tower
Sensor Name:,LICOR_LI-190SA-50,EnviroDIY_Mayfly Data Logger,EnviroDIY_Mayfly Data Logger
Variable Name:,PAR,Battery_Voltage,Board_Temp_C
Result Unit:,umol s^-1 m^-2,volt,degreeCelsius
Date and Time in MST (UTC-7),PPFD,Battery voltage,Temperature
2021-05-09 16:48:00, 86.34,4.15,9.3
2021-05-09 16:49:00, 86.34,4.15,9.3
2021-05-09 16:50:00, 91.01,4.15,9.0
2021-05-09 16:51:00, 98.01,4.15,9.3
2021-05-09 16:52:00,102.67,4.15,9.0
2021-05-09 16:53:00,105.01,4.15,9.0
2021-05-09 16:54:00,109.67,4.15,9.0
2021-05-09 16:55:00,116.67,4.15,8.8
2021-05-09 16:56:00,130.67,4.15,8.8
2021-05-09 16:57:00,142.34,4.15,8.8
2021-05-09 16:58:00,151.68,4.15,8.8
2021-05-09 16:59:00,156.34,4.15,8.8
2021-05-09 17:00:00,161.01,4.15,9.0
2021-05-09 17:01:00,165.68,4.15,9.0
2021-05-09 17:02:00,170.34,4.15,9.0
2021-05-09 17:03:00,177.34,4.15,9.0
2021-05-09 17:04:00,186.68,4.15,9.0
2021-05-09 17:05:00,196.01,4.15,9.0
2021-05-09 17:06:00,198.34,4.15,9.0
2021-05-09 17:07:00,196.01,4.15,9.3
2021-05-09 17:08:00,196.01,4.15,9.3
2021-05-09 17:09:00,193.68,4.15,9.3
2021-05-09 17:10:00,186.68,4.15,9.5
2021-05-09 17:11:00,177.34,4.15,9.5
2021-05-09 17:12:00,163.34,4.15,9.8
2021-05-09 17:13:00,142.34,4.15,9.5
2021-05-09 17:14:00,123.67,4.15,9.5
2021-05-09 17:15:00,112.01,4.15,9.5
2021-05-09 17:16:00,105.01,4.15,9.5
2021-05-09 17:17:00,102.67,4.15,9.5
2021-05-09 17:18:00,105.01,4.15,9.3
2021-05-09 17:19:00,105.01,4.15,9.3
2021-05-09 17:20:00,100.34,4.15,9.0
2021-05-09 17:21:00, 95.67,4.15,9.0
2021-05-09 17:22:00, 91.01,4.15,9.0
2021-05-09 17:23:00, 86.34,4.15,9.3
2021-05-09 17:24:00, 79.34,4.15,9.0
2021-05-09 17:25:00, 70.00,4.15,9.0
2021-05-09 17:26:00, 60.67,4.15,9.0
2021-05-09 17:27:00, 53.67,4.15,9.0
2021-05-09 17:28:00, 49.00,4.15,8.8
2021-05-09 17:29:00, 46.67,4.15,9.0
2021-05-09 17:30:00, 44.34,4.15,9.0
2021-05-09 17:31:00, 44.34,4.15,9.0
2021-05-09 17:32:00, 44.34,4.15,9.0
2021-05-09 17:33:00, 42.00,4.15,9.0
2021-05-09 17:34:00, 39.67,4.15,9.0
2021-05-09 17:35:00, 37.34,4.15,9.0
2021-05-09 17:36:00, 35.00,4.15,9.0
2021-05-09 17:37:00, 32.67,4.15,9.0
2021-05-09 17:38:00, 30.34,4.15,9.0
2021-05-09 17:39:00, 28.00,4.15,9.0
2021-05-09 17:40:00, 28.00,4.15,9.0
2021-05-09 17:41:00, 25.67,4.15,9.0
2021-05-09 17:42:00, 25.67,4.15,9.0
2021-05-09 17:43:00, 25.67,4.15,9.0
2021-05-09 17:44:00, 25.67,4.15,9.0
2021-05-09 17:45:00, 25.67,4.15,9.0
2021-05-09 17:46:00, 25.67,4.15,8.8
